matrícula,nome,idade,renda,cor,sexo,ano_curso,escola,curso,logradouro,numero,bairro,cidade,uf,cep,motivação,porcentagem_concluida_curso,coordenadas_long_lat,distrito,distancia_ate_puc
RA55000001,Aldelita Dinis,19,339.0,branca,feminino,3,pública,medicina,Rua Major Ari Gomes,118,Vila Mazzei,São Paulo,SP,02309-050,10,0.5,"-46.6068757, -23.4741075",TUCURUVI,9696.422639554685
RA55000002,Leudo Campelo  Ouro,19,373.0,branca,masculino,3,pública,design,Rua Caetano Mero,60,Vila Constança,São Paulo,SP,04658-080,10,1.0,"-46.6654077, -23.672821",CID ADEMAR,15038.489129252366
RA55000003,Geisemara Gonçalves,19,121.0,branca,feminino,3,pública,ciência de dados,Rua Vinte e Um de Abril,334,Jardim Colibri,São Paulo,SP,04855-620,9,0.8571428571428571,"-46.6114574, -23.5446954",BRAS,6143.3629598138605
RA55000004,Clislene Cantanhede,19,518.0,branca,feminino,3,pública,ciência de dados,Rua Caetano de Moura,216,Vila Nina,São Paulo,SP,02833-060,10,0.8571428571428571,"-46.6922537, -23.4782964",FREGUESIA DO O,7004.921836183093
RA55000005,Apolonia Arantes Ruas Pacheco,19,284.0,branca,feminino,3,pública,administração,Rua Curruíra,550,Vila Aurora,São Paulo,SP,05186-200,10,0.75,"-46.7532983, -23.4312806",PERUS,14566.736929816097
RA55000006,Jailan Valverde Natal,19,237.0,branca,masculino,3,pública,engenharia biomédica,Rua Marcos Freire,579,Jardim Nova Conquista,São Paulo,SP,08346-580,10,0.6,"-46.4441347, -23.6189277",SAO RAFAEL,24871.22938104618
RA55000007,Eliane Esparteiro Gorjão Mourato,19,17.0,branca,feminino,3,pública,engenharia biomédica,Rua Vinte e Dois de Abril,329,Lajeado,São Paulo,SP,08450-420,10,0.6,"-46.3993909, -23.5444124",LAJEADO,27761.759421900246
RA55000008,Gesiane Sintra Pederneiras Nolasco,19,512.0,branca,feminino,3,pública,administração,Rua Quinze de Novembro,803,Cantinho do Céu,São Paulo,SP,04849-527,9,0.75,"-46.6576262, -23.7408176",GRAJAU,22652.334657008527
RA55000009,Simael Palhares Borges Garcia,19,516.0,preta,masculino,3,pública,filosofia,Rua Duque da Terceira,930,Jardim Maristela,São Paulo,SP,02807-030,10,1.0,"-46.7021237, -23.4783907",FREGUESIA DO O,7367.782621418941
RA55000010,Dislaine Casalinho Vaz Imperial,19,396.0,branca,feminino,3,pública,engenharia biomédica,Rua Vinte de Março,315,Jardim Felicidade (Zona Norte),São Paulo,SP,02326-115,10,0.6,"-46.5737987, -23.4391204",JACANA,14856.890396593026
RA55000011,Maggy Ramos Da Costa,19,27.0,branca,feminino,3,pública,design,Rua Monsenhor Salim,959,Itaim Paulista,São Paulo,SP,08111-180,10,1.0,"-46.3795467, -23.4951311",ITAIM PAULISTA,30166.617988947506
RA55000012,Ketlin Malho Mirandela,19,520.0,preta,feminino,3,pública,design,Avenida Duquesa de Goiás,792,Real Parque,São Paulo,SP,05686-900,9,1.0,"-46.7025865, -23.6146259",MORUMBI,9118.402671796035
RA55000013,Namara Gago,19,39.0,branca,feminino,3,pública,direito,Rua Silva Pinto,972,Bom Retiro,São Paulo,SP,01126-010,10,0.6,"-46.6400348, -23.5290012",BOM RETIRO,3337.783119643367
RA55000014,Regiano Pais Sabala Lemos,19,98.0,branca,masculino,3,pública,direito,Rua Pedro Voss,58,Vila Carrão,São Paulo,SP,03437-000,9,0.6,"-46.527327, -23.5550285",CARRAO,14810.085165081022
RA55000015,Lucimare Olaio,19,353.0,branca,feminino,3,pública,ciência da computação,Rua Sete de Abril,787,Centro,São Paulo,SP,01044-902,10,0.75,"-46.64274040000001, -23.5442654",REPUBLICA,2985.495979922253
RA55000016,Endeson Remígio,19,69.0,branca,masculino,3,pública,design,Rua Treze de Maio,917,Cantinho do Céu,São Paulo,SP,04849-650,9,1.0,"-46.6573675, -23.7404567",GRAJAU,22613.80158862518
RA55000017,Mateus Sarmento Nóbrega Félix,19,403.0,branca,masculino,3,pública,filosofia,Rua João Pais,348,Jardim Petrópolis,São Paulo,SP,04603-904,9,1.0,"-46.6891946, -23.6290085",SANTO AMARO,10305.819077485894
RA55000018,Gleidiane Espírito Santo Marroquim Bulhosa,19,598.0,branca,feminino,3,pública,engenharia biomédica,Avenida Agami,715,Moema,São Paulo,SP,04522-001,9,0.6,"-46.6597619, -23.6008414",MOEMA,7096.4698373518995
RA55000019,Ardilis Cruz Canadas,19,523.0,branca,masculino,3,pública,filosofia,Rua Nossa Senhora Aparecida,604,Jardim Felicidade (Zona Norte),São Paulo,SP,02326-105,9,1.0,"-46.5768098, -23.4440407",JACANA,14243.92584809938
RA55000020,Dagomar Noleto Caminha Lara,19,733.99,branca,masculino,3,pública,filosofia,Rua Capitão Rangel,574,Vila São Geraldo,São Paulo,SP,03607-100,10,1.0,"-46.5442257, -23.5174735",PENHA,13166.733326935073
RA55000021,Agenor Cartaxo Távora Pessoa,19,1141.99,preta,masculino,3,pública,engenharia biomédica,Rua Pires de Almeida,58,Vila Pita,São Paulo,SP,02478-130,9,0.6,"-46.66178290000001, -23.4775089",CACHOEIRINHA,6821.787449293521
RA55000022,Fabriano Peixoto Mourinho Estrada,19,964.99,branca,masculino,3,pública,medicina,Rua Caetano de Moura,216,Vila Nina,São Paulo,SP,02833-060,9,0.5,"-46.6922537, -23.4782964",FREGUESIA DO O,7004.921836183093
RA55000023,Denizan Faia,19,989.99,preta,masculino,3,pública,design,Rua Capitão Luís Ramos,871,Vila Guilherme,São Paulo,SP,02066-010,9,1.0,"-46.6059649, -23.503564",VILA GUILHERME,7692.123355123877
RA55000024,Luender Belchior,19,914.99,branca,masculino,3,pública,administração,Rua Almeida Leite,424,Siciliano,São Paulo,SP,05052-080,10,0.75,"-46.7002458, -23.5340327",LAPA,3001.563899621668
RA55000025,Lucileia Miranda,19,952.99,branca,feminino,3,pública,design,Travessa Sete de Setembro,449,Recanto dos Humildes,São Paulo,SP,05209-550,9,1.0,"-46.75037930000001, -23.4129273",PERUS,16131.316224457978
RA55000026,Natalie Hipólito Freixo,19,867.99,branca,feminino,3,pública,ciência de dados,Rua São Bruno,741,Jardim São Bento,São Paulo,SP,02525-020,10,0.8571428571428571,"-46.6471054, -23.5032003",CASA VERDE,4600.990564997494
RA55000027,Ademor Silva Noronha,19,832.99,branca,masculino,3,pública,ciência da computação,Rua Sargento Paulo Moreira,688,Conjunto Habitacional Marechal Mascarenhas de Morais,São Paulo,SP,03977-160,10,0.75,"-46.4973849, -23.6200865",SAPOPEMBA,19961.858457933402
RA55000028,Carlinho Caparica Almeida,19,869.99,preta,masculino,3,pública,história,Rua Batista Caetano,419,Aclimação,São Paulo,SP,04108-130,10,0.75,"-46.6286718, -23.5813875",VILA MARIANA,6494.4423184890375
